time,open,high,low,close,volume
2023-02-06 08:25:00,103.7,103.72,103.54,103.56,6875
2023-02-06 08:20:00,103.7,103.714,103.58,103.69,5580
2023-02-06 08:15:00,103.56,103.65,103.56,103.65,3927
2023-02-06 08:10:00,103.69,103.69,103.52,103.6,7461
2023-02-06 08:05:00,103.37,104.57,103.25,103.8,33316
2023-02-06 08:00:00,103.44,103.52,103.44,103.52,3925
2023-02-06 07:55:00,103.78,103.78,103.6,103.6,12133
2023-02-06 07:50:00,103.75,103.99,103.74,103.81,8227
2023-02-06 07:45:00,103.69,103.8,103.69,103.8,4776
2023-02-06 07:40:00,103.39,103.7,103.39,103.69,4400
2023-02-06 07:35:00,103.26,103.4,103.26,103.36,5749
2023-02-06 07:30:00,103.34,103.37,103.25,103.37,5929
2023-02-06 07:25:00,103.39,103.4,103.32,103.32,2667
2023-02-06 07:20:00,103.42,103.56,103.4,103.42,11907
2023-02-06 07:15:00,103.34,103.34,103.33,103.33,3113
2023-02-06 07:10:00,103.22,103.28,103.22,103.27,2492
2023-02-06 07:05:00,103.33,103.5,103.29,103.34,14585
2023-02-06 06:55:00,103.26,103.26,103.26,103.26,1390
2023-02-06 06:50:00,103.11,103.37,103.11,103.37,691
2023-02-06 06:45:00,103.04,103.1,103.04,103.1,545
2023-02-06 06:40:00,103.07,103.07,103.07,103.07,210
2023-02-06 06:35:00,103.1,103.1,103.01,103.01,5269
2023-02-06 06:30:00,103.19,103.19,103.19,103.19,695
2023-02-06 06:25:00,103.25,103.25,103.11,103.11,3936
2023-02-06 06:20:00,103.14,103.14,103.14,103.14,612
2023-02-06 06:15:00,103.19,103.19,103.07,103.07,697
2023-02-06 06:05:00,103.39,103.39,103.14,103.14,6479
2023-02-06 06:00:00,103.49,103.5,103.46,103.46,1545
2023-02-06 05:55:00,103.22,103.49,103.22,103.49,2236
2023-02-06 05:50:00,103.16,103.19,103.09,103.19,2320
2023-02-06 05:45:00,103.22,103.24,103.22,103.22,679
2023-02-06 05:30:00,103.03,103.03,103.02,103.03,1896
2023-02-06 05:25:00,103.24,103.24,103.1,103.1,11388
2023-02-06 05:20:00,103.17,103.17,103.14,103.14,2174
2023-02-06 05:15:00,103.13,103.18,103.13,103.18,386
2023-02-06 05:05:00,103.16,103.17,103.1,103.1,2950
2023-02-06 05:00:00,103.26,103.26,103.24,103.24,1544
2023-02-06 04:55:00,103.22,103.24,103.16,103.24,2528
2023-02-06 04:50:00,103.4,103.4,103.31,103.31,1706
2023-02-06 04:45:00,103.52,103.52,103.52,103.52,292
2023-02-06 04:40:00,103.8,103.8,103.7,103.7,2157
2023-02-06 04:35:00,103.73,103.73,103.71,103.71,815
2023-02-06 04:30:00,103.74,103.78,103.72,103.78,2017
2023-02-06 04:25:00,103.75,103.83,103.75,103.83,913
2023-02-06 04:20:00,103.83,103.83,103.71,103.77,2060
2023-02-06 04:15:00,103.92,103.92,103.83,103.83,2087
2023-02-06 04:10:00,103.9,103.91,103.9,103.91,1611
2023-02-06 04:05:00,104.4,104.6,103.74,103.84,5110
2023-02-03 20:00:00,104.67,104.74,104.67,104.74,1037
2023-02-03 19:55:00,104.75,104.78,104.73,104.73,1601
2023-02-03 19:45:00,104.79,104.79,104.68,104.68,1010
2023-02-03 19:35:00,104.65,104.69,104.65,104.69,675
2023-02-03 19:30:00,104.66,104.66,104.65,104.66,821
2023-02-03 19:25:00,104.68,104.68,104.65,104.65,1355
2023-02-03 19:20:00,104.69,104.69,104.69,104.69,1850
2023-02-03 19:15:00,104.7,104.7,104.69,104.7,2775
2023-02-03 19:10:00,104.8,104.8,104.77,104.77,531
2023-02-03 19:05:00,104.76,104.76,104.76,104.76,1162
2023-02-03 19:00:00,104.79,104.79,104.76,104.76,1165
2023-02-03 18:55:00,104.85,104.85,104.85,104.85,400
2023-02-03 18:50:00,104.82,104.83,104.82,104.83,904
2023-02-03 18:45:00,104.88,104.88,104.85,104.85,1675
2023-02-03 18:40:00,104.88,104.88,104.85,104.85,1082
2023-02-03 18:30:00,104.88,104.88,104.87,104.87,367
2023-02-03 18:25:00,104.89,104.89,104.88,104.88,978
2023-02-03 18:20:00,104.9,104.9,104.9,104.9,800
2023-02-03 18:15:00,104.93,104.94,104.93,104.94,356
2023-02-03 18:10:00,104.88,104.88,104.82,104.85,1046
2023-02-03 18:05:00,104.94,104.94,104.88,104.88,1222
2023-02-03 18:00:00,104.94,104.94,104.91,104.91,608
2023-02-03 17:55:00,104.94,104.96,104.9,104.9,1507
2023-02-03 17:50:00,104.93,104.9301,104.92,104.9201,2234
2023-02-03 17:45:00,104.93,104.9482,104.92,104.94,2698
2023-02-03 17:40:00,104.97,104.97,104.9334,104.9334,1215
2023-02-03 17:35:00,104.97,104.97,104.94,104.94,600
2023-02-03 17:30:00,104.89,104.97,104.89,104.97,1408
2023-02-03 17:25:00,104.8875,104.9699,104.8875,104.9699,2147
2023-02-03 17:20:00,104.98,104.98,104.93,104.97,1675
2023-02-03 17:15:00,104.92,104.98,104.9,104.97,4164
2023-02-03 17:10:00,104.95,104.95,104.9085,104.92,5307
2023-02-03 17:05:00,104.78,104.94,104.78,104.92,22315
2023-02-03 17:00:00,104.91,104.95,104.88,104.9467,1198
2023-02-03 16:55:00,104.8662,104.9635,104.8662,104.91,2721
2023-02-03 16:50:00,104.89,104.99,104.88,104.93,9807
2023-02-03 16:45:00,104.85,104.9,104.85,104.86,2312
2023-02-03 16:40:00,104.81,104.84,104.8,104.8,4406
2023-02-03 16:35:00,104.85,104.85,104.82,104.84,2916
2023-02-03 16:30:00,104.84,104.88,104.81,104.81,7260
2023-02-03 16:25:00,104.78,104.8499,104.77,104.77,5016
2023-02-03 16:20:00,104.77,104.78,104.7,104.73,273145
2023-02-03 16:15:00,104.8,104.85,104.78,104.8,84201
2023-02-03 16:10:00,104.84,104.84,104.78,104.78,528041
2023-02-03 16:05:00,104.78,105.01,104.75,104.8,1192857
2023-02-03 16:00:00,104.99,105.145,104.74,104.75,2048650
2023-02-03 15:55:00,104.63,105.045,104.48,104.99,1468146
2023-02-03 15:50:00,104.71,104.84,104.58,104.635,622540
2023-02-03 15:45:00,104.615,104.805,104.585,104.705,526802
2023-02-03 15:40:00,104.6274,104.75,104.54,104.615,510794
2023-02-03 15:35:00,104.655,104.76,104.55,104.63,555502
2023-02-03 15:30:00,104.62,104.765,104.5793,104.655,734125
2023-02-03 15:25:00,104.56,104.63,104.475,104.62,395579
2023-02-03 15:20:00,104.465,104.78,104.37,104.558,436202
2023-02-03 15:15:00,104.325,104.5567,104.26,104.47,325231
2023-02-03 15:10:00,104.14,104.42,104.1,104.325,416152
2023-02-03 15:05:00,104.07,104.17,103.92,104.135,467934
2023-02-03 15:00:00,104.31,104.36,103.95,104.08,376563
2023-02-03 14:55:00,104.57,104.57,104.28,104.32,327561
2023-02-03 14:50:00,104.555,104.63,104.42,104.5702,268811
2023-02-03 14:45:00,104.68,104.7,104.505,104.56,327215
2023-02-03 14:40:00,104.465,104.76,104.44,104.69,364221
2023-02-03 14:35:00,104.595,104.61,104.42,104.4601,337469
2023-02-03 14:30:00,104.46,104.67,104.44,104.61,265022
2023-02-03 14:25:00,104.44,104.66,104.38,104.46,355190
2023-02-03 14:20:00,104.97,104.98,104.4,104.43,401525
2023-02-03 14:15:00,105.0,105.0286,104.6965,104.98,341830
2023-02-03 14:10:00,105.09,105.18,104.93,105.0,239626
2023-02-03 14:05:00,105.2,105.337,105.04,105.09,613537
2023-02-03 14:00:00,105.31,105.31,105.13,105.2,406813
2023-02-03 13:55:00,104.79,105.33,104.79,105.305,492521
2023-02-03 13:50:00,104.8,104.9599,104.5101,104.7801,521486
2023-02-03 13:45:00,105.03,105.04,104.77,104.81,383334
